dataset,run_id,slot,leader_pubkey,leader_name,leader_city,leader_country,client_us,client_ms,observed_bucket,expected_bucket,match
dataset_2026_05_04_2200,6,417600229,9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,,396356-DE-Frankfurt am Main,,17746,17.75,fr2,unknown,no
dataset_2026_05_04_2200,7,417600235,CW9C7HBwAMgqNdXkNgFg9Ujr3edR2Ab9ymEuQnVacd1A,Coinbase 02,20326-GB-City of London,,17388,17.39,fr2,unknown,no
dataset_2026_05_04_2200,8,417600241,7qGNnXKW1e3DsqEaSxwxMdBTFsrK73XtWTmkGitRyMQc,Alchemy,be101.rbx-g4-nc5.fr.eu,,17327,17.33,fr2,unknown,no
dataset_2026_05_04_2200,9,417600247,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,,20326-NL-Amsterdam,,640216,640.22,tyo,unknown,no
dataset_2026_05_04_2200,10,417600254,6TkKqq15wXjqEjNg9zqTKADwuVATR9dW3rkNnsYme1ea,melea 🚀 SOL 🤑2K,29802-NL-Amsterdam,,16360,16.36,fr2,unknown,no
dataset_2026_05_04_2200,11,417600260,9rkJMARqK6VBkcxGfKBAwnA44gPAfGxPbPsfsggFNDSQ,,16509-DE-Frankfurt am Main,,16920,16.92,fr2,unknown,no
dataset_2026_05_04_2200,12,417600266,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,,20326-NL-Amsterdam,,238365,238.37,dx1,unknown,no
dataset_2026_05_04_2200,13,417600272,q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,Ledger by Figment,396356-DE-Frankfurt am Main,,19609,19.61,fr2,unknown,no
dataset_2026_05_04_2200,14,417600278,8tjFeSApQ85ThoQXT28acfF2KUfQr3TvTdirSkzNnYC7,,*,,228848,228.85,dx1,unknown,no
dataset_2026_05_04_2200,15,417600284,EKgSCR3ahdypkxXcBY43ZNxdmyZqPkKNPey3rwKjqbz7,,400963-GB-Europe/London,,16699,16.70,fr2,unknown,no
dataset_2026_05_04_2200,16,417600289,5marvipGzf98hxnoJFXsZbGHSXcEQ3yRGJ4ps7D3V4ou,MARVEL+MEV!,20473-BR-Osasco,,246180,246.18,dx1,unknown,no
dataset_2026_05_04_2200,17,417600295,6M53yM6dsE6hiaHgxWvYa4fsfzQTGyAZn7rM6JrzbqJV,Pier Two,16276-DE-Frankfurt am Main,,16622,16.62,fr2,unknown,no
dataset_2026_05_04_2200,18,417600302,FBbqKvwLfKGZrKrfSbPJz4ymQ7zMarhRyZtu1RBkSe89,,7979-NL-Europe/Amsterdam,,17254,17.25,fr2,unknown,no
dataset_2026_05_04_2200,19,417600307,CG4tRANBKrzUmpv93V5sgftjQznBdiJsc2yPCzZWWuS9,Bybit Staking,7979-NL-Europe/Amsterdam,,18037,18.04,fr2,unknown,no
dataset_2026_05_04_2200,20,417600313,BSVckjdW2f8kcXPGcrPPtV9kUDBZ8w8PjrrGVnxgEdwq,,16125-LT-Vilnius,,15991,15.99,fr2,unknown,no
dataset_2026_05_04_2200,21,417600319,1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,OneLink Solutions,44486-DE-Frankfurt am Main,,16904,16.90,fr2,unknown,no
dataset_2026_05_04_2200,22,417600324,5ZqveVffQPiUbkjBg4KD9kib1MKHLqiFno4ke9jSq9qk,,20326-DE-Frankfurt am Main,,16188,16.19,fr2,unknown,no
dataset_2026_05_04_2200,23,417600330,CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,Kraken 2,1072-US-America/Chicago,,19524,19.52,fr2,unknown,no
dataset_2026_05_04_2200,24,417600335,HarmonicyK3BwamKNtWnQAmUeK4GYGXXzeD9FD8WMyZi,Harmonic Major,20326-JP-Tokyo,,234944,234.94,dx1,unknown,no
dataset_2026_05_04_2200,25,417600341,BNtHBLo1L2vAG7PBQ6mJvWz7GqVPxBnioXsY2Gjtubrg,CatalystX - Innovation OnChain,20473-US-Los Angeles,,459620,459.62,tyo,unknown,no
dataset_2026_05_04_2200,26,417600348,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Everstake,213896-DE-Frankfurt am Main,,18614,18.61,fr2,unknown,no
dataset_2026_05_04_2200,27,417600354,Av8EnYrPBnSJHK5e2wmTdnCpSy7nzmBgyFaUKSyLnBfe,AndrewInUA,20473-CA-Toronto,,228880,228.88,dx1,unknown,no
dataset_2026_05_04_2200,28,417600360,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,,20326-NL-Amsterdam,,18326,18.33,fr2,unknown,no
dataset_2026_05_04_2200,29,417600366,Fc6NNdS2j3EmrWbU6Uqt6wsKB5ef72NjaWfNxKYbULGD,OKX Earn,45102-SG-Asia/Singapore,,459653,459.65,tyo,unknown,no
dataset_2026_05_04_2200,30,417600372,JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,Jupiter,20326-DE-Frankfurt am Main,,19382,19.38,fr2,unknown,no
dataset_2026_05_04_2200,31,417600378,q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,Ledger by Figment,396356-DE-Frankfurt am Main,,17606,17.61,fr2,unknown,no
dataset_2026_05_04_2200,32,417600383,Gv9gguvrAkgQtB5g5a3Un7trcHCxLYsk8vSojLmQMsWV,,20326-US-Newark,,459687,459.69,tyo,unknown,no
