dataset,run_id,slot,leader_pubkey,leader_name,leader_city,leader_country,client_us,client_ms,observed_tier,expected_tier,match
dataset_2026_05_04_2200,6,417600228,9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,(no name),Frankfurt am Main,DE,17746,17.75,fr2,fr2,yes
dataset_2026_05_04_2200,7,417600234,CW9C7HBwAMgqNdXkNgFg9Ujr3edR2Ab9ymEuQnVacd1A,Coinbase 02,City of London,GB,17388,17.39,fr2,fr2,yes
dataset_2026_05_04_2200,8,417600240,7qGNnXKW1e3DsqEaSxwxMdBTFsrK73XtWTmkGitRyMQc,Alchemy,be101.rbx-g4-nc5.fr.eu,,17327,17.33,fr2,unknown,no
dataset_2026_05_04_2200,9,417600246,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,(no name),Amsterdam,NL,640216,640.22,tyo,fr2,no
dataset_2026_05_04_2200,10,417600253,,(no data),,,16360,16.36,fr2,unknown,no
dataset_2026_05_04_2200,11,417600259,,(no data),,,16920,16.92,fr2,unknown,no
dataset_2026_05_04_2200,12,417600265,,(no data),,,238365,238.37,mid,unknown,no
dataset_2026_05_04_2200,13,417600271,,(no data),,,19609,19.61,fr2,unknown,no
dataset_2026_05_04_2200,14,417600277,,(no data),,,228848,228.85,mid,unknown,no
dataset_2026_05_04_2200,15,417600283,,(no data),,,16699,16.70,fr2,unknown,no
dataset_2026_05_04_2200,16,417600288,,(no data),,,246180,246.18,mid,unknown,no
dataset_2026_05_04_2200,17,417600294,,(no data),,,16622,16.62,fr2,unknown,no
dataset_2026_05_04_2200,18,417600301,,(no data),,,17254,17.25,fr2,unknown,no
dataset_2026_05_04_2200,19,417600306,,(no data),,,18037,18.04,fr2,unknown,no
dataset_2026_05_04_2200,20,417600312,,(no data),,,15991,15.99,fr2,unknown,no
dataset_2026_05_04_2200,21,417600318,,(no data),,,16904,16.90,fr2,unknown,no
dataset_2026_05_04_2200,22,417600323,,(no data),,,16188,16.19,fr2,unknown,no
dataset_2026_05_04_2200,23,417600329,,(no data),,,19524,19.52,fr2,unknown,no
dataset_2026_05_04_2200,24,417600334,,(no data),,,234944,234.94,mid,unknown,no
dataset_2026_05_04_2200,25,417600340,,(no data),,,459620,459.62,tyo,unknown,no
dataset_2026_05_04_2200,26,417600347,,(no data),,,18614,18.61,fr2,unknown,no
dataset_2026_05_04_2200,27,417600353,,(no data),,,228880,228.88,mid,unknown,no
dataset_2026_05_04_2200,28,417600359,,(no data),,,18326,18.33,fr2,unknown,no
dataset_2026_05_04_2200,29,417600365,,(no data),,,459653,459.65,tyo,unknown,no
dataset_2026_05_04_2200,30,417600371,,(no data),,,19382,19.38,fr2,unknown,no
dataset_2026_05_04_2200,31,417600377,,(no data),,,17606,17.61,fr2,unknown,no
dataset_2026_05_04_2200,32,417600382,,(no data),,,459687,459.69,tyo,unknown,no
dataset_2026_05_04_2200,33,417600390,,(no data),,,18355,18.36,fr2,unknown,no
dataset_2026_05_04_2200,34,417600395,,(no data),,,16914,16.91,fr2,unknown,no
dataset_2026_05_04_2200,35,417600401,,(no data),,,16919,16.92,fr2,unknown,no
dataset_2026_05_04_2200,36,417600407,,(no data),,,18335,18.34,fr2,unknown,no
dataset_2026_05_04_2200,37,417600413,,(no data),,,17261,17.26,fr2,unknown,no
dataset_2026_05_04_2200,38,417600418,,(no data),,,17745,17.75,fr2,unknown,no
dataset_2026_05_04_2200,39,417600424,,(no data),,,17520,17.52,fr2,unknown,no
dataset_2026_05_04_2200,40,417600430,,(no data),,,18366,18.37,fr2,unknown,no
dataset_2026_05_04_2200,41,417600436,,(no data),,,18265,18.27,fr2,unknown,no
dataset_2026_05_04_2200,42,417600442,,(no data),,,17395,17.39,fr2,unknown,no
dataset_2026_05_04_2200,43,417600445,,(no data),,,19452,19.45,fr2,unknown,no
dataset_2026_05_04_2200,44,417600451,,(no data),,,18167,18.17,fr2,unknown,no
dataset_2026_05_04_2200,45,417600457,,(no data),,,17360,17.36,fr2,unknown,no
dataset_2026_05_04_2200,46,417600462,,(no data),,,18203,18.20,fr2,unknown,no
dataset_2026_05_04_2200,47,417600468,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,Helius,Frankfurt am Main,DE,367652,367.65,slc,fr2,no
dataset_2026_05_04_2200,48,417600474,E1r4Psq84tHfQ6aPTvvDka4U3u8zPVD7gEUrH25RdxHL,(no data),,,459743,459.74,tyo,unknown,no
dataset_2026_05_04_2200,49,417600481,JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,Jupiter,Frankfurt am Main,DE,458484,458.48,tyo,fr2,no
dataset_2026_05_04_2200,50,417600487,9W3QTgBhkU4Bwg6cwnDJo6eGZ9BtZafSdu1Lo9JmWws7,Coinbase 03,Tokyo,JP,16462,16.46,fr2,tyo,no
dataset_2026_05_04_2200,51,417600493,7QQGNm3ptwinipDCyaCF7jY5katgmFUu1ieP2f7nwLpE,(no name),Vilnius,LT,17546,17.55,fr2,fr2,yes
dataset_2026_05_04_2200,52,417600499,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,binance staking,Ashburn,US,17790,17.79,fr2,mid,no
dataset_2026_05_04_2200,53,417600505,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,(no name),Amsterdam,NL,18125,18.12,fr2,fr2,yes
dataset_2026_05_04_2200,54,417600510,KoLibrJsbABbtmtFPc7nPvDxT81rc4UPM7mY9xSLjpo,Kolibrio,Amsterdam,NL,18132,18.13,fr2,fr2,yes
dataset_2026_05_04_2200,55,417600516,,(no data),,,190737,190.74,mid,unknown,no
dataset_2026_05_04_2200,56,417600522,1unarWPGGseFag2WfnoFv8o9P7vTPU8eHex9GinP3eY,Luminal,Querétaro City,MX,18006,18.01,fr2,mid,no
dataset_2026_05_04_2200,57,417600527,grptonHnt7YSmJokGK9TJJTBXDT8ca4LSWMHCCfzzPa,gripto,Fechenheim,DE,17083,17.08,fr2,fr2,yes
dataset_2026_05_04_2200,58,417600534,GBQ2GvTzmjXMu97dr7WUnLKYTNim1aoZsYS53KYXAAAA,(no data),,,15986,15.99,fr2,unknown,no
dataset_2026_05_04_2200,59,417600539,HH5dA42XF1HxNk1TRpG6LuKfLViMYNdAz5iWrFM4hWFi,Trust Nodes,Europe/Amsterdam,NL,486505,486.50,tyo,fr2,no
dataset_2026_05_04_2200,60,417600546,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Everstake,Frankfurt am Main,DE,16415,16.41,fr2,fr2,yes
dataset_2026_05_04_2200,61,417600552,CW9C7HBwAMgqNdXkNgFg9Ujr3edR2Ab9ymEuQnVacd1A,Coinbase 02,City of London,GB,17971,17.97,fr2,fr2,yes
dataset_2026_05_04_2200,62,417600557,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,Figment,be102.bhs-g1-nc5.qc.ca,,16502,16.50,fr2,unknown,no
dataset_2026_05_04_2200,63,417600563,5Us18hLZPXJTS4QVuGSsUw137Dyd2tgBaem24Xsf5nBS,(no name),Stockholm,SE,16496,16.50,fr2,fr2,yes
dataset_2026_05_04_2200,64,417600569,,(no data),,,16899,16.90,fr2,unknown,no
dataset_2026_05_04_2200,65,417600574,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,Helius,Frankfurt am Main,DE,16131,16.13,fr2,fr2,yes
dataset_2026_05_04_2200,66,417600580,9eGrDohdNTAo61DRHyfMuqKWXqYnA3i254Wiszxe8FoY,Galaxy,Europe/London,GB,15760,15.76,fr2,fr2,yes
dataset_2026_05_04_2200,67,417600585,gangtCrQg5RmKf5yxvhvZThPugPX58pDSdQ5UuS26vN,The Lotus Validator,Frankfurt am Main,DE,17103,17.10,fr2,fr2,yes
dataset_2026_05_04_2200,68,417600591,5VrW7YNBccVnhnZVmooCePdLFcs2UjfxRT3hoY9mN8Ec,Appleyello,*,,17529,17.53,fr2,unknown,no
dataset_2026_05_04_2200,69,417600596,9eGrDohdNTAo61DRHyfMuqKWXqYnA3i254Wiszxe8FoY,Galaxy,Europe/London,GB,16010,16.01,fr2,fr2,yes
dataset_2026_05_04_2200,70,417600602,JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,Jupiter,Frankfurt am Main,DE,199565,199.56,mid,fr2,no
dataset_2026_05_04_2200,71,417600608,Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM,Staking Facilities | MEV 🔥,Frankfurt am Main,DE,16361,16.36,fr2,fr2,yes
dataset_2026_05_04_2200,72,417600614,AEHqTB2RtJjegsR2ePjvoJSm6AA5pnYKWVbcsn6kqTBD,(no name),Amsterdam,NL,16816,16.82,fr2,fr2,yes
dataset_2026_05_04_2200,73,417600620,,(no data),,,16648,16.65,fr2,unknown,no
dataset_2026_05_04_2200,74,417600625,idCE5k2BtTpwXdwAC7Var1enT9reut9fWECcxQP7LY7,(no data),,,16308,16.31,fr2,unknown,no
dataset_2026_05_04_2200,75,417600631,q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,Ledger by Figment,Frankfurt am Main,DE,16353,16.35,fr2,fr2,yes
dataset_2026_05_04_2200,76,417600636,2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,(no name),Tokyo,JP,459329,459.33,tyo,tyo,yes
dataset_2026_05_04_2200,77,417600643,5TGfVQV1S3wHE9hkgGaQkRoPC7xZxiqwMcjQZxVYsf1j,Sanctum,Frankfurt (Oder),DE,198146,198.15,mid,fr2,no
dataset_2026_05_04_2200,78,417600649,Fc6NNdS2j3EmrWbU6Uqt6wsKB5ef72NjaWfNxKYbULGD,OKX Earn,Asia/Singapore,SG,458178,458.18,tyo,tyo,yes
dataset_2026_05_04_2200,79,417600656,FBbqKvwLfKGZrKrfSbPJz4ymQ7zMarhRyZtu1RBkSe89,(no name),Europe/Amsterdam,NL,16935,16.93,fr2,fr2,yes
dataset_2026_05_04_2200,80,417600662,CVgwMrWo9chKEuEPCe6Za9KJe8jamnAcoeWzaMeNubr6,SelfLiquidity,Offenbach,DE,16884,16.88,fr2,fr2,yes
dataset_2026_05_04_2200,81,417600668,GREEDkgav1ox1jYyd9Anv6exLqKV2vYnxMw5prGwmNKc,GREED Academy - funding education,Singapore,SG,459224,459.22,tyo,tyo,yes
dataset_2026_05_04_2200,82,417600674,,(no data),,,460054,460.05,tyo,unknown,no
dataset_2026_05_04_2200,83,417600681,43Am3PKFeo9cACpqYL5Sk95rpVdxLw3Mc22PqRqZXEW2,(no data),,,458515,458.51,tyo,unknown,no
dataset_2026_05_04_2200,84,417600688,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Everstake,Frankfurt am Main,DE,17252,17.25,fr2,fr2,yes
dataset_2026_05_04_2200,85,417600694,JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB,Forward Industries,Europe/London,GB,17690,17.69,fr2,fr2,yes
dataset_2026_05_04_2200,86,417600699,3rqEEEGjHRyndHuduBcjkf17rX3hgmGACpYTQYeZ5Ltk,StakeThat +MEV,Frankfurt am Main,DE,458091,458.09,tyo,fr2,no
dataset_2026_05_04_2200,87,417600706,BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,(no name),Frankfurt am Main,DE,16517,16.52,fr2,fr2,yes
dataset_2026_05_04_2200,88,417600712,FjYEr2UCeFzNfAKiFrbhG34Zv8LxbmfHYAFhAfc7SLQL,Easytoken.me,Europe/Amsterdam,NL,19307,19.31,fr2,fr2,yes
dataset_2026_05_04_2200,89,417600718,DNVZMSqeRH18Xa4MCTrb1MndNf3Npg4MEwqswo23eWkf,Firedancer Development,Frankfurt am Main,DE,16826,16.83,fr2,fr2,yes
dataset_2026_05_04_2200,90,417600724,vu1sGn2f1Xim6voHNLt4nLn38zNkYdLasU7hEr1TC2D,(no data),,,17893,17.89,fr2,unknown,no
dataset_2026_05_04_2200,91,417600730,E1r4Psq84tHfQ6aPTvvDka4U3u8zPVD7gEUrH25RdxHL,(no data),,,16479,16.48,fr2,unknown,no
