dataset,run_id,slot,leader_pubkey,leader_name,leader_city,leader_country,client_us,client_ms,observed_tier,expected_tier,match
dataset_2026_05_04_2200,6,417600232,CW9C7HBwAMgqNdXkNgFg9Ujr3edR2Ab9ymEuQnVacd1A,Coinbase 02,City of London,GB,17746,17.75,fr2,fr2,yes
dataset_2026_05_04_2200,7,417600238,FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,Coinbase 04,Amsterdam,NL,17388,17.39,fr2,fr2,yes
dataset_2026_05_04_2200,8,417600244,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,(no name),Amsterdam,NL,17327,17.33,fr2,fr2,yes
dataset_2026_05_04_2200,9,417600250,,(no data),,,640216,640.22,tyo,unknown,no
dataset_2026_05_04_2200,10,417600257,,(no data),,,16360,16.36,fr2,unknown,no
dataset_2026_05_04_2200,11,417600263,,(no data),,,16920,16.92,fr2,unknown,no
dataset_2026_05_04_2200,12,417600269,,(no data),,,238365,238.37,mid,unknown,no
dataset_2026_05_04_2200,13,417600275,,(no data),,,19609,19.61,fr2,unknown,no
dataset_2026_05_04_2200,14,417600281,,(no data),,,228848,228.85,mid,unknown,no
dataset_2026_05_04_2200,15,417600287,,(no data),,,16699,16.70,fr2,unknown,no
dataset_2026_05_04_2200,16,417600292,,(no data),,,246180,246.18,mid,unknown,no
dataset_2026_05_04_2200,17,417600298,,(no data),,,16622,16.62,fr2,unknown,no
dataset_2026_05_04_2200,18,417600305,,(no data),,,17254,17.25,fr2,unknown,no
dataset_2026_05_04_2200,19,417600310,,(no data),,,18037,18.04,fr2,unknown,no
dataset_2026_05_04_2200,20,417600316,,(no data),,,15991,15.99,fr2,unknown,no
dataset_2026_05_04_2200,21,417600322,,(no data),,,16904,16.90,fr2,unknown,no
dataset_2026_05_04_2200,22,417600327,,(no data),,,16188,16.19,fr2,unknown,no
dataset_2026_05_04_2200,23,417600333,,(no data),,,19524,19.52,fr2,unknown,no
dataset_2026_05_04_2200,24,417600338,,(no data),,,234944,234.94,mid,unknown,no
dataset_2026_05_04_2200,25,417600344,,(no data),,,459620,459.62,tyo,unknown,no
dataset_2026_05_04_2200,26,417600351,,(no data),,,18614,18.61,fr2,unknown,no
dataset_2026_05_04_2200,27,417600357,,(no data),,,228880,228.88,mid,unknown,no
dataset_2026_05_04_2200,28,417600363,,(no data),,,18326,18.33,fr2,unknown,no
dataset_2026_05_04_2200,29,417600369,,(no data),,,459653,459.65,tyo,unknown,no
dataset_2026_05_04_2200,30,417600375,,(no data),,,19382,19.38,fr2,unknown,no
dataset_2026_05_04_2200,31,417600381,,(no data),,,17606,17.61,fr2,unknown,no
dataset_2026_05_04_2200,32,417600386,,(no data),,,459687,459.69,tyo,unknown,no
dataset_2026_05_04_2200,33,417600394,,(no data),,,18355,18.36,fr2,unknown,no
dataset_2026_05_04_2200,34,417600399,,(no data),,,16914,16.91,fr2,unknown,no
dataset_2026_05_04_2200,35,417600405,,(no data),,,16919,16.92,fr2,unknown,no
dataset_2026_05_04_2200,36,417600411,,(no data),,,18335,18.34,fr2,unknown,no
dataset_2026_05_04_2200,37,417600417,,(no data),,,17261,17.26,fr2,unknown,no
dataset_2026_05_04_2200,38,417600422,,(no data),,,17745,17.75,fr2,unknown,no
dataset_2026_05_04_2200,39,417600428,,(no data),,,17520,17.52,fr2,unknown,no
dataset_2026_05_04_2200,40,417600434,,(no data),,,18366,18.37,fr2,unknown,no
dataset_2026_05_04_2200,41,417600440,,(no data),,,18265,18.27,fr2,unknown,no
dataset_2026_05_04_2200,42,417600446,4mtXJ5pUcMMB4t8cLbi7zfDJCHfYLRrQb4qSLmh57sKL,(no name),Dublin,IE,17395,17.39,fr2,fr2,yes
dataset_2026_05_04_2200,43,417600449,,(no data),,,19452,19.45,fr2,unknown,no
dataset_2026_05_04_2200,44,417600455,,(no data),,,18167,18.17,fr2,unknown,no
dataset_2026_05_04_2200,45,417600461,,(no data),,,17360,17.36,fr2,unknown,no
dataset_2026_05_04_2200,46,417600466,q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,Ledger by Figment,Frankfurt am Main,DE,18203,18.20,fr2,fr2,yes
dataset_2026_05_04_2200,47,417600472,E1r4Psq84tHfQ6aPTvvDka4U3u8zPVD7gEUrH25RdxHL,(no data),,,367652,367.65,slc,unknown,no
dataset_2026_05_04_2200,48,417600478,DUND26mEDfFeaPsVof3YvbXDRvpuQX7HMUJrLgEWzYw4,(no name),Tokyo,JP,459743,459.74,tyo,tyo,yes
dataset_2026_05_04_2200,49,417600485,9W3QTgBhkU4Bwg6cwnDJo6eGZ9BtZafSdu1Lo9JmWws7,Coinbase 03,Tokyo,JP,458484,458.48,tyo,tyo,yes
dataset_2026_05_04_2200,50,417600491,JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,Jupiter,Frankfurt am Main,DE,16462,16.46,fr2,fr2,yes
dataset_2026_05_04_2200,51,417600497,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,binance staking,Ashburn,US,17546,17.55,fr2,mid,no
dataset_2026_05_04_2200,52,417600503,anzaeL7Lsv71HW2mew8YcKGyGqL6qNn3xoNPRrejM73,(no data),,,17790,17.79,fr2,unknown,no
dataset_2026_05_04_2200,53,417600509,KoLibrJsbABbtmtFPc7nPvDxT81rc4UPM7mY9xSLjpo,Kolibrio,Amsterdam,NL,18125,18.12,fr2,fr2,yes
dataset_2026_05_04_2200,54,417600514,,(no data),,,18132,18.13,fr2,unknown,no
dataset_2026_05_04_2200,55,417600520,1unarWPGGseFag2WfnoFv8o9P7vTPU8eHex9GinP3eY,Luminal,Querétaro City,MX,190737,190.74,mid,mid,yes
dataset_2026_05_04_2200,56,417600526,grptonHnt7YSmJokGK9TJJTBXDT8ca4LSWMHCCfzzPa,gripto,Fechenheim,DE,18006,18.01,fr2,fr2,yes
dataset_2026_05_04_2200,57,417600531,7y5VhV4fkz6r4zUmH2UiwPjLwXzPL1PcV28or5NWkWRL,Haus – Best APY & No Fees,Fechenheim,DE,17083,17.08,fr2,fr2,yes
dataset_2026_05_04_2200,58,417600538,HH5dA42XF1HxNk1TRpG6LuKfLViMYNdAz5iWrFM4hWFi,Trust Nodes,Europe/Amsterdam,NL,15986,15.99,fr2,fr2,yes
dataset_2026_05_04_2200,59,417600543,5Cchr1XGEg7dbBXByV5NY2ad8jfxAM7HA3x8D56rq9Ux,Upbit Staking,Boardman,US,486505,486.50,tyo,mid,no
dataset_2026_05_04_2200,60,417600550,5ejbTALcBsKQ7Cj1iSuu2mY5jqbYHqh9gF5ERXLiYj1z,(no data),,,16415,16.41,fr2,unknown,no
dataset_2026_05_04_2200,61,417600556,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,Figment,be102.bhs-g1-nc5.qc.ca,,17971,17.97,fr2,unknown,no
dataset_2026_05_04_2200,62,417600561,5Us18hLZPXJTS4QVuGSsUw137Dyd2tgBaem24Xsf5nBS,(no name),Stockholm,SE,16502,16.50,fr2,fr2,yes
dataset_2026_05_04_2200,63,417600567,,(no data),,,16496,16.50,fr2,unknown,no
dataset_2026_05_04_2200,64,417600573,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,Helius,Frankfurt am Main,DE,16899,16.90,fr2,fr2,yes
dataset_2026_05_04_2200,65,417600578,BSVckjdW2f8kcXPGcrPPtV9kUDBZ8w8PjrrGVnxgEdwq,(no name),Vilnius,LT,16131,16.13,fr2,fr2,yes
dataset_2026_05_04_2200,66,417600584,gangtCrQg5RmKf5yxvhvZThPugPX58pDSdQ5UuS26vN,The Lotus Validator,Frankfurt am Main,DE,15760,15.76,fr2,fr2,yes
dataset_2026_05_04_2200,67,417600589,5VrW7YNBccVnhnZVmooCePdLFcs2UjfxRT3hoY9mN8Ec,Appleyello,*,,17103,17.10,fr2,unknown,no
dataset_2026_05_04_2200,68,417600595,9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,(no name),Frankfurt am Main,DE,17529,17.53,fr2,fr2,yes
dataset_2026_05_04_2200,69,417600600,JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,Jupiter,Frankfurt am Main,DE,16010,16.01,fr2,fr2,yes
dataset_2026_05_04_2200,70,417600606,hy1oMaD3ViyJ8i6w1xjP79zAWBBaRd1zWdTW8zYXnwu,(no data),,,199565,199.56,mid,unknown,no
dataset_2026_05_04_2200,71,417600612,AEHqTB2RtJjegsR2ePjvoJSm6AA5pnYKWVbcsn6kqTBD,(no name),Amsterdam,NL,16361,16.36,fr2,fr2,yes
dataset_2026_05_04_2200,72,417600618,GEM1N1UE3C8BB8EaaEPrcFvT3iLMVrurknjW5AYjUReR,(no data),,,16816,16.82,fr2,unknown,no
dataset_2026_05_04_2200,73,417600624,idCE5k2BtTpwXdwAC7Var1enT9reut9fWECcxQP7LY7,(no data),,,16648,16.65,fr2,unknown,no
dataset_2026_05_04_2200,74,417600629,q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,Ledger by Figment,Frankfurt am Main,DE,16308,16.31,fr2,fr2,yes
dataset_2026_05_04_2200,75,417600635,EkvdKhULbMFqjKBKotAzGi3kwMvMpYNDKJXXQQmi6C1f,(no name),Amsterdam,NL,16353,16.35,fr2,fr2,yes
dataset_2026_05_04_2200,76,417600640,5TGfVQV1S3wHE9hkgGaQkRoPC7xZxiqwMcjQZxVYsf1j,Sanctum,Frankfurt (Oder),DE,459329,459.33,tyo,fr2,no
dataset_2026_05_04_2200,77,417600647,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,Figment,be102.bhs-g1-nc5.qc.ca,,198146,198.15,mid,unknown,no
dataset_2026_05_04_2200,78,417600653,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,Helius,Frankfurt am Main,DE,458178,458.18,tyo,fr2,no
