run_id,timestamp_ms,side,feed_count,wall_clock_start_ms,wall_clock_end_ms,server_wall_clock_us,client_wall_clock_us,unique_slots_count,cold_start,commitment,error
1,1778929202603,zela,10,1778929202603,1778929202604,1166,427576,1,true,confirmed,false
1,1778929204488,baseline,10,1778929204488,1778929204601,,113352,1,true,confirmed,false
2,1778929205089,zela,10,1778929205089,1778929205112,23484,225506,1,true,confirmed,false
2,1778929206955,baseline,10,1778929206955,1778929207062,,107042,1,true,confirmed,false
3,1778929208254,zela,,,,,120549,,true,confirmed,true
3,1778929209395,baseline,10,1778929209395,1778929209485,,89417,1,true,confirmed,false
4,1778929210027,zela,10,1778929210027,1778929210027,424,299998,1,true,confirmed,false
4,1778929211912,baseline,10,1778929211912,1778929212008,,95850,1,true,confirmed,false
5,1778929212448,zela,10,1778929212448,1778929212449,1435,23125,1,true,confirmed,false
5,1778929214181,baseline,10,1778929214181,1778929214271,,89287,1,true,confirmed,false
6,1778929214811,zela,10,1778929214811,1778929214811,741,297894,1,false,confirmed,false
6,1778929216669,baseline,10,1778929216669,1778929216765,,96477,1,false,confirmed,false
7,1778929217224,zela,10,1778929217224,1778929217225,728,16279,1,false,confirmed,false
7,1778929218910,baseline,10,1778929218910,1778929219001,,91713,1,false,confirmed,false
8,1778929219441,zela,10,1778929219441,1778929219442,979,16742,1,false,confirmed,false
8,1778929221125,baseline,10,1778929221125,1778929221217,,91941,1,false,confirmed,false
9,1778929221756,zela,10,1778929221756,1778929221758,1234,261442,1,false,confirmed,false
9,1778929223598,baseline,10,1778929223598,1778929223684,,86589,1,false,confirmed,false
10,1778929224124,zela,10,1778929224124,1778929224125,762,17137,1,false,confirmed,false
10,1778929225807,baseline,10,1778929225807,1778929225927,,119399,1,false,confirmed,false
11,1778929226406,zela,10,1778929226406,1778929226424,17968,216621,1,false,confirmed,false
11,1778929228247,baseline,10,1778929228247,1778929228344,,96947,1,false,confirmed,false
12,1778929228786,zela,10,1778929228786,1778929228787,1068,16900,1,false,confirmed,false
12,1778929230464,baseline,10,1778929230464,1778929230555,,90620,1,false,confirmed,false
13,1778929230995,zela,10,1778929230995,1778929230996,826,16312,1,false,confirmed,false
13,1778929232673,baseline,10,1778929232673,1778929232767,,93868,1,false,confirmed,false
14,1778929233347,zela,10,1778929233347,1778929233348,803,445493,1,false,confirmed,false
14,1778929235361,baseline,10,1778929235361,1778929235474,,113019,1,false,confirmed,false
15,1778929235909,zela,10,1778929235909,1778929235910,859,18257,1,false,confirmed,false
15,1778929237600,baseline,10,1778929237600,1778929237720,,119268,1,false,confirmed,false
16,1778929238169,zela,10,1778929238169,1778929238170,897,17798,1,false,confirmed,false
16,1778929239854,baseline,10,1778929239854,1778929239957,,103245,1,false,confirmed,false
17,1778929240395,zela,10,1778929240395,1778929240396,839,16390,1,false,confirmed,false
17,1778929242079,baseline,10,1778929242079,1778929242178,,98737,1,false,confirmed,false
18,1778929242613,zela,10,1778929242613,1778929242615,1518,18155,1,false,confirmed,false
18,1778929244303,baseline,10,1778929244303,1778929244402,,99731,1,false,confirmed,false
19,1778929244840,zela,10,1778929244840,1778929244841,777,17232,1,false,confirmed,false
19,1778929246520,baseline,10,1778929246520,1778929246610,,90072,1,false,confirmed,false
20,1778929247046,zela,10,1778929247046,1778929247047,922,16851,1,false,confirmed,false
20,1778929248739,baseline,10,1778929248739,1778929248819,,80714,1,false,confirmed,false
21,1778929249254,zela,10,1778929249254,1778929249255,859,17928,1,false,confirmed,false
21,1778929250948,baseline,10,1778929250948,1778929251042,,94549,1,false,confirmed,false
22,1778929251481,zela,10,1778929251481,1778929251482,1035,17025,1,false,confirmed,false
22,1778929253175,baseline,10,1778929253175,1778929253268,,93478,1,false,confirmed,false
23,1778929253747,zela,10,1778929253747,1778929253772,24335,218890,1,false,confirmed,false
23,1778929255589,baseline,10,1778929255589,1778929255682,,93335,1,false,confirmed,false
24,1778929256165,zela,10,1778929256165,1778929256189,23785,226956,1,false,confirmed,false
24,1778929258010,baseline,10,1778929258010,1778929258111,,100841,1,false,confirmed,false
25,1778929258547,zela,10,1778929258547,1778929258548,831,16427,1,false,confirmed,false
25,1778929260233,baseline,10,1778929260233,1778929260319,,86015,1,false,confirmed,false
26,1778929260751,zela,10,1778929260751,1778929260752,1214,17550,1,false,confirmed,false
26,1778929262439,baseline,10,1778929262439,1778929262529,,89562,1,false,confirmed,false
27,1778929262970,zela,10,1778929262970,1778929262971,1308,18416,1,false,confirmed,false
27,1778929264654,baseline,10,1778929264654,1778929264745,,91183,1,false,confirmed,false
28,1778929265290,zela,10,1778929265290,1778929265294,4450,449973,1,false,confirmed,false
28,1778929267306,baseline,10,1778929267306,1778929267400,,94266,1,false,confirmed,false
29,1778929267836,zela,10,1778929267836,1778929267837,964,17177,1,false,confirmed,false
