run_id,timestamp_ms,side,feed_count,wall_clock_start_ms,wall_clock_end_ms,wall_clock_total_us,unique_slots_count,error
1,1776770946993,zela,10,1776770946993,1776770946994,962,1,false
1,1776770948951,baseline,10,1776770948951,1776770949571,619312,2,false
2,1776770950209,zela,10,1776770950209,1776770950212,2849,1,false
2,1776770951803,baseline,10,1776770951803,1776770952316,513188,2,false
3,1776770952987,zela,10,1776770952987,1776770952989,2533,1,false
3,1776770954589,baseline,10,1776770954589,1776770955134,544685,2,false
4,1776770955757,zela,10,1776770955757,1776770955759,1853,1,false
4,1776770957347,baseline,10,1776770957347,1776770957941,593719,2,false
5,1776770958603,zela,10,1776770958603,1776770958605,1982,1,false
5,1776770960190,baseline,10,1776770960190,1776770960793,603011,3,false
6,1776770961423,zela,10,1776770961423,1776770961425,1920,1,false
6,1776770963033,baseline,10,1776770963033,1776770963505,472178,2,false
7,1776770964183,zela,10,1776770964183,1776770964206,23399,1,false
7,1776770965854,baseline,10,1776770965854,1776770966358,503711,2,false
8,1776770966979,zela,10,1776770966979,1776770966983,3481,1,false
8,1776770968568,baseline,10,1776770968568,1776770969012,444204,2,false
9,1776770969661,zela,10,1776770969661,1776770969663,2275,1,false
9,1776770971258,baseline,10,1776770971258,1776770971710,452053,2,false
10,1776770972937,zela,,,,,,true
10,1776770973984,baseline,10,1776770973984,1776770974469,484815,2,false
11,1776770975127,zela,10,1776770975127,1776770975129,1962,1,false
11,1776770976716,baseline,10,1776770976716,1776770977750,1034265,3,false
12,1776770978394,zela,10,1776770978394,1776770978396,2061,1,false
12,1776770980020,baseline,10,1776770980020,1776770980454,434109,2,false
13,1776770981683,zela,,,,,,true
13,1776770982727,baseline,10,1776770982727,1776770983272,544810,2,false
14,1776770983918,zela,10,1776770983918,1776770983920,2015,1,false
14,1776770985506,baseline,10,1776770985506,1776770985974,467756,1,false
15,1776770986586,zela,10,1776770986586,1776770986588,2914,1,false
15,1776770988176,baseline,10,1776770988176,1776770988741,565292,3,false
16,1776770989390,zela,10,1776770989390,1776770989393,3049,1,false
16,1776770990994,baseline,10,1776770990994,1776770991539,544125,2,false
17,1776770992264,zela,10,1776770992264,1776770992265,1075,1,false
17,1776770994127,baseline,10,1776770994127,1776770994624,496690,2,false
18,1776770995288,zela,10,1776770995288,1776770995290,2024,1,false
18,1776770996878,baseline,10,1776770996878,1776770997480,602583,2,false
19,1776770998105,zela,10,1776770998105,1776770998108,2591,1,false
19,1776770999700,baseline,10,1776770999700,1776771000106,405648,2,false
20,1776771000751,zela,10,1776771000751,1776771000753,2013,1,false
20,1776771002351,baseline,10,1776771002351,1776771002979,628213,3,false
21,1776771003606,zela,10,1776771003606,1776771003608,1662,1,false
21,1776771005195,baseline,10,1776771005195,1776771005782,586612,2,false
22,1776771006501,zela,10,1776771006501,1776771006509,8119,1,false
22,1776771008216,baseline,10,1776771008216,1776771008699,482290,2,false
23,1776771009986,zela,,,,,,true
23,1776771011031,baseline,10,1776771011031,1776771011521,490242,2,false
24,1776771012159,zela,10,1776771012159,1776771012164,4690,1,false
24,1776771013748,baseline,10,1776771013748,1776771014200,452715,1,false
25,1776771014818,zela,10,1776771014818,1776771014821,3411,1,false
25,1776771016404,baseline,10,1776771016404,1776771016924,520072,2,false
26,1776771017631,zela,10,1776771017631,1776771017876,244286,2,false
26,1776771019605,baseline,10,1776771019605,1776771020090,485031,2,false
27,1776771020734,zela,10,1776771020734,1776771020736,1784,1,false
27,1776771022337,baseline,10,1776771022337,1776771022773,436144,1,false
28,1776771023507,zela,10,1776771023507,1776771023508,1408,1,false
28,1776771025428,baseline,10,1776771025428,1776771025993,564350,2,false
29,1776771026614,zela,10,1776771026614,1776771026616,1788,1,false
29,1776771028204,baseline,10,1776771028204,1776771028745,540549,2,false
30,1776771029399,zela,10,1776771029399,1776771029402,3015,1,false
30,1776771030986,baseline,10,1776771030986,1776771031509,522746,2,false
31,1776771032170,zela,10,1776771032170,1776771032172,1937,1,false
31,1776771033759,baseline,10,1776771033759,1776771034229,469456,2,false
32,1776771034839,zela,10,1776771034839,1776771034841,2313,1,false
32,1776771036430,baseline,10,1776771036430,1776771036903,473965,2,false
33,1776771037525,zela,10,1776771037525,1776771037528,2983,1,false
33,1776771039113,baseline,10,1776771039113,1776771039580,467865,2,false
34,1776771040233,zela,10,1776771040233,1776771040475,242063,2,false
34,1776771042200,baseline,10,1776771042200,1776771042800,599396,2,false
35,1776771043458,zela,10,1776771043458,1776771043460,2009,1,false
35,1776771045041,baseline,10,1776771045041,1776771045514,473713,1,false
36,1776771046193,zela,10,1776771046193,1776771046377,183404,1,false
36,1776771048172,baseline,10,1776771048172,1776771048680,507849,2,false
37,1776771049314,zela,10,1776771049314,1776771049317,2811,1,false
37,1776771050898,baseline,10,1776771050898,1776771051467,569075,2,false
