run_id,timestamp_ms,side,feed_count,wall_clock_start_ms,wall_clock_end_ms,wall_clock_total_us,unique_slots_count,error
1,1776784869564,zela,10,1776784869564,1776784869566,2206,1,false
1,1776784871258,baseline,10,1776784871258,1776784871796,538199,1,false
2,1776784872398,zela,10,1776784872398,1776784872690,292440,2,false
2,1776784874466,baseline,10,1776784874466,1776784874957,490515,2,false
3,1776784875584,zela,10,1776784875584,1776784876026,441585,1,false
3,1776784877813,baseline,10,1776784877813,1776784878337,524306,2,false
4,1776784878906,zela,10,1776784878906,1776784878909,3142,1,false
4,1776784880554,baseline,10,1776784880554,1776784881111,557574,3,false
5,1776784881749,zela,10,1776784881749,1776784882062,312903,2,false
5,1776784883892,baseline,10,1776784883892,1776784884447,555404,2,false
6,1776784885025,zela,10,1776784885025,1776784885027,2114,1,false
6,1776784886692,baseline,10,1776784886692,1776784887213,521711,2,false
7,1776784887944,zela,10,1776784887944,1776784887946,1869,1,false
7,1776784890020,baseline,10,1776784890020,1776784890488,467745,2,false
8,1776784891105,zela,10,1776784891105,1776784891107,2045,1,false
8,1776784892747,baseline,10,1776784892747,1776784893250,503389,2,false
9,1776784893826,zela,10,1776784893826,1776784893828,2053,1,false
9,1776784895464,baseline,10,1776784895464,1776784896253,788604,2,false
10,1776784896838,zela,10,1776784896838,1776784896840,2158,1,false
10,1776784898475,baseline,10,1776784898475,1776784899006,530551,3,false
11,1776784899655,zela,10,1776784899655,1776784899722,66760,1,false
11,1776784901467,baseline,10,1776784901467,1776784901997,530146,2,false
12,1776784902609,zela,10,1776784902609,1776784902659,49118,1,false
12,1776784904416,baseline,10,1776784904416,1776784905005,589103,2,false
13,1776784905594,zela,10,1776784905594,1776784905596,2076,1,false
13,1776784907251,baseline,10,1776784907251,1776784907827,576831,3,false
14,1776784908407,zela,10,1776784908407,1776784908408,1769,1,false
14,1776784910043,baseline,10,1776784910043,1776784910585,541926,2,false
15,1776784911292,zela,10,1776784911292,1776784911294,1374,1,false
15,1776784913245,baseline,10,1776784913245,1776784913729,484228,1,false
16,1776784914393,zela,10,1776784914393,1776784914394,1113,1,false
16,1776784916361,baseline,10,1776784916361,1776784916903,541936,3,false
17,1776784917526,zela,10,1776784917526,1776784917844,318062,2,false
17,1776784919633,baseline,10,1776784919633,1776784920118,485239,2,false
18,1776784920693,zela,10,1776784920693,1776784920696,2477,1,false
18,1776784922331,baseline,10,1776784922331,1776784922875,543729,2,false
19,1776784923476,zela,10,1776784923476,1776784923478,2150,1,false
19,1776784925114,baseline,10,1776784925114,1776784925627,512982,2,false
20,1776784926234,zela,10,1776784926234,1776784926551,317311,1,false
20,1776784928349,baseline,10,1776784928349,1776784928817,467906,2,false
21,1776784929406,zela,10,1776784929406,1776784929410,3476,1,false
21,1776784931052,baseline,10,1776784931052,1776784931638,585549,2,false
22,1776784932252,zela,10,1776784932252,1776784932254,1896,1,false
22,1776784933890,baseline,10,1776784933890,1776784934470,579752,1,false
23,1776784935162,zela,10,1776784935162,1776784935164,1585,1,false
23,1776784937133,baseline,10,1776784937133,1776784937591,458171,2,false
24,1776784938308,zela,10,1776784938308,1776784938309,1303,1,false
24,1776784940277,baseline,10,1776784940277,1776784940796,519810,2,false
25,1776784941468,zela,10,1776784941468,1776784941470,1585,1,false
25,1776784943243,baseline,10,1776784943243,1776784943707,464608,2,false
26,1776784944307,zela,10,1776784944307,1776784944310,2332,1,false
26,1776784945950,baseline,10,1776784945950,1776784946497,547465,2,false
27,1776784947114,zela,10,1776784947114,1776784947485,371446,2,false
27,1776784949256,baseline,10,1776784949256,1776784949707,451295,2,false
28,1776784950313,zela,10,1776784950313,1776784950315,1944,1,false
28,1776784951953,baseline,10,1776784951953,1776784952515,561710,2,false
29,1776784953104,zela,10,1776784953104,1776784953106,2118,1,false
29,1776784954745,baseline,10,1776784954745,1776784955235,489674,2,false
30,1776784955849,zela,10,1776784955849,1776784955851,2025,1,false
30,1776784957484,baseline,10,1776784957484,1776784957988,504209,3,false
31,1776784958556,zela,10,1776784958556,1776784958558,2374,1,false
31,1776784960190,baseline,10,1776784960190,1776784960637,446603,2,false
32,1776784961225,zela,10,1776784961225,1776784961227,2034,1,false
32,1776784962867,baseline,10,1776784962867,1776784963409,541936,3,false
33,1776784963967,zela,10,1776784963967,1776784963969,1975,1,false
33,1776784965606,baseline,10,1776784965606,1776784966109,502975,2,false
34,1776784966682,zela,10,1776784966682,1776784966684,1882,1,false
34,1776784968317,baseline,10,1776784968317,1776784968904,586601,2,false
35,1776784969524,zela,10,1776784969524,1776784969792,267199,1,false
35,1776784971564,baseline,10,1776784971564,1776784972117,553240,3,false
36,1776784972687,zela,10,1776784972687,1776784972690,3196,1,false
36,1776784974325,baseline,10,1776784974325,1776784974890,564465,3,false
37,1776784975460,zela,10,1776784975460,1776784975462,2036,1,false
37,1776784977100,baseline,10,1776784977100,1776784977580,480152,1,false
38,1776784978260,zela,10,1776784978260,1776784978261,1237,1,false
38,1776784980227,baseline,10,1776784980227,1776784980617,389392,2,false
39,1776784981247,zela,10,1776784981247,1776784981301,54058,2,false
39,1776784983050,baseline,10,1776784983050,1776784983646,596043,2,false
40,1776784984234,zela,10,1776784984234,1776784984236,2000,1,false
40,1776784985873,baseline,10,1776784985873,1776784986368,495197,2,false
