run_id,timestamp_ms,side,feed_count,wall_clock_start_ms,wall_clock_end_ms,wall_clock_total_us,unique_slots_count,error
1,1777233602628,zela,10,1777233602628,1777233602630,1924,1,false
1,1777233604009,baseline,10,1777233604009,1777233604612,602791,1,false
2,1777233605606,zela,10,1777233605606,1777233605608,2264,1,false
2,1777233607320,baseline,10,1777233607320,1777233607719,398419,1,false
3,1777233608592,zela,10,1777233608592,1777233608595,2138,1,false
3,1777233609938,baseline,10,1777233609938,1777233610343,404967,2,false
4,1777233611195,zela,10,1777233611195,1777233611197,1988,1,false
4,1777233612560,baseline,10,1777233612560,1777233612967,407194,1,false
5,1777233613878,zela,10,1777233613878,1777233614086,207496,2,false
5,1777233615638,baseline,10,1777233615638,1777233616081,442817,2,false
6,1777233616944,zela,10,1777233616944,1777233616947,2117,1,false
6,1777233618323,baseline,10,1777233618323,1777233618770,446921,2,false
7,1777233619623,zela,10,1777233619623,1777233619625,2434,1,false
7,1777233620970,baseline,10,1777233620970,1777233621437,467181,2,false
8,1777233622287,zela,10,1777233622287,1777233622289,2056,1,false
8,1777233623638,baseline,10,1777233623638,1777233624151,512783,2,false
9,1777233625161,zela,10,1777233625161,1777233625162,1645,1,false
9,1777233626848,baseline,10,1777233626848,1777233627250,401803,2,false
10,1777233628095,zela,10,1777233628095,1777233628098,2555,1,false
10,1777233629444,baseline,10,1777233629444,1777233629884,440250,2,false
11,1777233630750,zela,10,1777233630750,1777233630752,2005,1,false
11,1777233632102,baseline,10,1777233632102,1777233632568,466794,2,false
12,1777233633445,zela,10,1777233633445,1777233633447,2110,1,false
12,1777233634792,baseline,10,1777233634792,1777233635301,509278,2,false
13,1777233636277,zela,10,1777233636277,1777233636450,172940,1,false
13,1777233637932,baseline,10,1777233637932,1777233638397,465769,2,false
14,1777233639252,zela,10,1777233639252,1777233639254,1945,1,false
14,1777233640606,baseline,10,1777233640606,1777233641063,456607,2,false
15,1777233641980,zela,10,1777233641980,1777233642212,232138,2,false
15,1777233643684,baseline,10,1777233643684,1777233644116,432249,2,false
16,1777233644968,zela,10,1777233644968,1777233644971,2167,1,false
16,1777233646316,baseline,10,1777233646316,1777233646890,573426,2,false
17,1777233647916,zela,10,1777233647916,1777233647917,1378,1,false
17,1777233649592,baseline,10,1777233649592,1777233650008,416510,2,false
18,1777233650862,zela,10,1777233650862,1777233650864,2159,1,false
18,1777233652216,baseline,10,1777233652216,1777233652614,398643,2,false
19,1777233653482,zela,10,1777233653482,1777233653484,1926,1,false
19,1777233654825,baseline,10,1777233654825,1777233655285,459944,2,false
20,1777233656135,zela,10,1777233656135,1777233656137,2031,1,false
20,1777233657477,baseline,10,1777233657477,1777233657886,408958,2,false
21,1777233658750,zela,10,1777233658750,1777233658753,2520,1,false
21,1777233660100,baseline,10,1777233660100,1777233660539,438969,2,false
22,1777233661418,zela,10,1777233661418,1777233661420,2170,1,false
22,1777233662762,baseline,10,1777233662762,1777233663188,425776,2,false
23,1777233664057,zela,10,1777233664057,1777233664060,2450,1,false
23,1777233665406,baseline,10,1777233665406,1777233665893,487054,2,false
24,1777233666766,zela,10,1777233666766,1777233666768,2182,1,false
24,1777233668114,baseline,10,1777233668114,1777233668515,401013,2,false
25,1777233669417,zela,10,1777233669417,1777233669419,2218,1,false
25,1777233670761,baseline,10,1777233670761,1777233671184,423309,1,false
26,1777233672043,zela,10,1777233672043,1777233672045,1961,1,false
26,1777233673391,baseline,10,1777233673391,1777233673811,420563,2,false
27,1777233674671,zela,10,1777233674671,1777233674673,1899,1,false
27,1777233676018,baseline,10,1777233676018,1777233676473,454648,1,false
28,1777233677415,zela,10,1777233677415,1777233677673,257954,1,false
28,1777233679209,baseline,10,1777233679209,1777233679658,449071,1,false
29,1777233680619,zela,10,1777233680619,1777233680621,1477,1,false
29,1777233682297,baseline,10,1777233682297,1777233682696,398601,2,false
30,1777233683552,zela,10,1777233683552,1777233683554,2268,1,false
30,1777233684903,baseline,10,1777233684903,1777233685479,576166,2,false
31,1777233686375,zela,10,1777233686375,1777233686555,179589,1,false
31,1777233688031,baseline,10,1777233688031,1777233688510,479235,2,false
32,1777233689419,zela,10,1777233689419,1777233689421,2091,1,false
32,1777233690768,baseline,10,1777233690768,1777233691173,405639,2,false
33,1777233692066,zela,10,1777233692066,1777233692236,170221,2,false
33,1777233693716,baseline,10,1777233693716,1777233694143,426485,2,false
34,1777233695018,zela,10,1777233695018,1777233695020,2157,1,false
34,1777233696366,baseline,10,1777233696366,1777233696785,418727,1,false
35,1777233697631,zela,10,1777233697631,1777233697633,2038,1,false
35,1777233698977,baseline,10,1777233698977,1777233699407,430216,2,false
36,1777233700274,zela,10,1777233700274,1777233700276,2052,1,false
36,1777233701624,baseline,10,1777233701624,1777233702005,381538,2,false
37,1777233702893,zela,10,1777233702893,1777233703070,177337,2,false
37,1777233704543,baseline,10,1777233704543,1777233705071,528015,2,false
38,1777233705962,zela,10,1777233705962,1777233705964,1858,1,false
38,1777233707312,baseline,10,1777233707312,1777233707786,473597,2,false
39,1777233708633,zela,10,1777233708633,1777233708636,2237,1,false
39,1777233709977,baseline,10,1777233709977,1777233710513,536396,2,false
40,1777233711418,zela,10,1777233711418,1777233711421,2305,1,false
40,1777233712767,baseline,10,1777233712767,1777233713236,469462,2,false
41,1777233714087,zela,10,1777233714087,1777233714089,2092,1,false
41,1777233715430,baseline,10,1777233715430,1777233715851,421068,2,false
42,1777233716759,zela,10,1777233716759,1777233716947,188185,2,false
42,1777233718411,baseline,10,1777233718411,1777233718884,473434,2,false
43,1777233719778,zela,10,1777233719778,1777233719935,156910,1,false
43,1777233721399,baseline,10,1777233721399,1777233721808,409023,2,false
44,1777233722819,zela,10,1777233722819,1777233722821,1340,1,false
44,1777233724494,baseline,10,1777233724494,1777233724915,420917,2,false
45,1777233725897,zela,10,1777233725897,1777233725899,1661,1,false
45,1777233727573,baseline,10,1777233727573,1777233727999,425330,2,false
46,1777233728860,zela,10,1777233728860,1777233728862,2179,1,false
46,1777233730207,baseline,10,1777233730207,1777233730653,446596,2,false
47,1777233731504,zela,10,1777233731504,1777233731506,2019,1,false
47,1777233732848,baseline,10,1777233732848,1777233733285,436936,2,false
48,1777233734168,zela,10,1777233734168,1777233734170,2064,1,false
48,1777233735515,baseline,10,1777233735515,1777233736042,526467,2,false
49,1777233736901,zela,10,1777233736901,1777233736904,2515,1,false
49,1777233738246,baseline,10,1777233738246,1777233738675,428796,2,false
50,1777233739536,zela,10,1777233739536,1777233739541,4298,1,false
50,1777233740882,baseline,10,1777233740882,1777233741309,427770,2,false
51,1777233742159,zela,10,1777233742159,1777233742161,1944,1,false
51,1777233743516,baseline,10,1777233743516,1777233743958,441551,2,false
52,1777233744929,zela,10,1777233744929,1777233744930,1386,1,false
52,1777233746603,baseline,10,1777233746603,1777233747133,530543,1,false
53,1777233748045,zela,10,1777233748045,1777233748252,207031,1,false
53,1777233749723,baseline,10,1777233749723,1777233750133,409969,1,false
54,1777233751066,zela,10,1777233751066,1777233751070,3641,1,false
54,1777233752553,baseline,10,1777233752553,1777233753061,508363,2,false
55,1777233754025,zela,10,1777233754025,1777233754027,1467,1,false
55,1777233755708,baseline,10,1777233755708,1777233756174,466754,2,false
56,1777233757058,zela,10,1777233757058,1777233757061,2488,1,false
56,1777233758407,baseline,10,1777233758407,1777233758870,463519,2,false
57,1777233759723,zela,10,1777233759723,1777233759725,2108,1,false
57,1777233761066,baseline,10,1777233761066,1777233761576,509614,3,false
58,1777233762466,zela,10,1777233762466,1777233762468,2271,1,false
58,1777233763829,baseline,10,1777233763829,1777233764289,459956,2,false
59,1777233765149,zela,10,1777233765149,1777233765151,2083,1,false
59,1777233766498,baseline,10,1777233766498,1777233767023,524945,2,false
60,1777233767905,zela,10,1777233767905,1777233767907,2154,1,false
60,1777233769256,baseline,10,1777233769256,1777233769673,416499,2,false
61,1777233770533,zela,10,1777233770533,1777233770535,2089,1,false
61,1777233771888,baseline,10,1777233771888,1777233772337,449542,2,false
62,1777233773206,zela,10,1777233773206,1777233773209,2252,1,false
62,1777233774557,baseline,10,1777233774557,1777233774958,401033,2,false
63,1777233775809,zela,10,1777233775809,1777233775811,2093,1,false
63,1777233777171,baseline,10,1777233777171,1777233777699,528104,2,false
64,1777233778734,zela,10,1777233778734,1777233778736,1280,1,false
64,1777233780418,baseline,10,1777233780418,1777233780902,483860,2,false
65,1777233781753,zela,10,1777233781753,1777233781755,2006,1,false
65,1777233783112,baseline,10,1777233783112,1777233783646,534517,3,false
66,1777233784515,zela,10,1777233784515,1777233784517,2023,1,false
66,1777233785858,baseline,10,1777233785858,1777233786339,480968,2,false
67,1777233787246,zela,10,1777233787246,1777233787429,183308,1,false
67,1777233788908,baseline,10,1777233788908,1777233789356,447556,2,false
68,1777233790214,zela,10,1777233790214,1777233790215,1571,1,false
68,1777233791563,baseline,10,1777233791563,1777233792049,485898,2,false
69,1777233793013,zela,10,1777233793013,1777233793014,1253,1,false
69,1777233794689,baseline,10,1777233794689,1777233795101,412299,2,false
70,1777233795997,zela,10,1777233795997,1777233796177,180411,1,false
70,1777233797648,baseline,10,1777233797648,1777233798077,428974,2,false
71,1777233798935,zela,10,1777233798935,1777233798937,2162,1,false
71,1777233800282,baseline,10,1777233800282,1777233800798,515580,1,false
72,1777233801782,zela,10,1777233801782,1777233801784,1630,1,false
72,1777233803583,baseline,10,1777233803583,1777233804012,428497,2,false
73,1777233804900,zela,10,1777233804900,1777233805064,163262,1,false
